#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1 1.05367e-08
           3         1.1         1.1 1.72064e-08
           4         1.1         1.1 3.07195e-08
           5         1.1         1.1 4.56861e-08
           6         1.1         1.1 6.08337e-08
           7         1.1         1.1 7.92508e-08
           8         1.1         1.1 9.89834e-08
           9         1.1         1.1 1.20137e-07
          10         1.1         1.1  1.4246e-07
          11         1.1         1.1 1.66115e-07
          12         1.1         1.1 1.90828e-07
          13         1.1         1.1 2.16649e-07
          14         1.1         1.1 2.43552e-07
          15         1.1         1.1 2.71458e-07
          16         1.1         1.1 3.00389e-07
          17         1.1         1.1 3.30267e-07
          18         1.1         1.1 3.61027e-07
          19     1.10001         1.1 3.92673e-07
          20     1.10001         1.1 4.25219e-07
          21     1.10001         1.1 4.58605e-07
          22     1.10001         1.1 4.92774e-07
          23     1.10001         1.1 5.27788e-07
          24     1.10001         1.1 5.63575e-07
          25     1.10001         1.1 6.00138e-07
          26     1.10001         1.1 6.37436e-07
          27     1.10001         1.1 6.75483e-07
          28     1.10001         1.1 7.14263e-07
          29     1.10001         1.1 7.53743e-07
          30     1.10001         1.1 7.93907e-07
          31     1.10002     1.10001 8.34783e-07
          32     1.10002     1.10001 8.76319e-07
          33     1.10002     1.10001 9.18518e-07
          34     1.10002     1.10001 9.61368e-07
          35     1.10002     1.10001 1.00485e-06
          36     1.10002     1.10001 1.04898e-06
          37     1.10002     1.10001 1.09373e-06
          38     1.10002     1.10001 1.13909e-06
          39     1.10002     1.10001 1.18506e-06
          40     1.10003     1.10001 1.23163e-06
          41     1.10003     1.10001 1.27879e-06
          42     1.10003     1.10001 1.32653e-06
          43     1.10003     1.10001 1.37485e-06
          44     1.10003     1.10001 1.42374e-06
          45     1.10003     1.10001 1.47319e-06
          46     1.10003     1.10001  1.5232e-06
          47     1.10004     1.10001 1.57375e-06
          48     1.10004     1.10001 1.62486e-06
          49     1.10004     1.10001  1.6765e-06
          50     1.10004     1.10001 1.72867e-06
          51     1.10004     1.10001 1.78138e-06
          52     1.10004     1.10001  1.8346e-06
          53     1.10005     1.10002 1.88835e-06
          54     1.10005     1.10002  1.9426e-06
          55     1.10005     1.10002 1.99736e-06
          56     1.10005     1.10002 2.05263e-06
          57     1.10005     1.10002  2.1084e-06
          58     1.10005     1.10002 2.16466e-06
          59     1.10006     1.10002 2.22141e-06
          60     1.10006     1.10002 2.27865e-06
          61     1.10006     1.10002 2.33637e-06
          62     1.10006     1.10002 2.39457e-06
          63     1.10006     1.10002 2.45324e-06
          64     1.10007     1.10002 2.51238e-06
          65     1.10007     1.10002   2.572e-06
          66     1.10007     1.10002 2.63207e-06
          67     1.10007     1.10002 2.69261e-06
          68     1.10007     1.10003  2.7536e-06
          69     1.10008     1.10003 2.81504e-06
          70     1.10008     1.10003 2.87694e-06
          71     1.10008     1.10003 2.93928e-06
          72     1.10008     1.10003 3.00207e-06
          73     1.10009     1.10003  3.0653e-06
          74     1.10009     1.10003 3.12897e-06
          75     1.10009     1.10003 3.19308e-06
          76     1.10009     1.10003 3.25761e-06
          77      1.1001     1.10003 3.32258e-06
          78      1.1001     1.10003 3.38798e-06
          79      1.1001     1.10003  3.4538e-06
          80      1.1001     1.10003 3.52004e-06
          81     1.10011     1.10004 3.58671e-06
          82     1.10011     1.10004 3.65379e-06
          83     1.10011     1.10004 3.72128e-06
          84     1.10012     1.10004 3.78919e-06
          85     1.10012     1.10004 3.85752e-06
          86     1.10012     1.10004 3.92625e-06
          87     1.10012     1.10004 3.99538e-06
          88     1.10013     1.10004 4.06492e-06
          89     1.10013     1.10004 4.13486e-06
          90     1.10013     1.10004 4.20521e-06
          91     1.10014     1.10005 4.27595e-06
          92     1.10014     1.10005 4.34708e-06
